BusinessName,Address,ZIP,DESCRIPT,Latitude,Longitude,Neighborhood_Geopy
Angela's Cafe,131 Lexington,2128,Eating & Drinking w/ Take Out,42.3785,-71.035,East Boston
Angela's Cafe II,1012 Bennington,2128,Eating & Drinking w/ Take Out,42.3871,-71.0063,East Boston
Anna Hand Cut Donuts,2056 Centre,2132,Eating & Drinking,42.28,-71.1582,Roxbury
Anna's Cafe,267 Medford,2129,Eating & Drinking w/ Take Out,42.3813,-71.0615,Charlestown
Anna's Taqueria,242 Cambridge,2114,Eating & Drinking,42.3609,-71.0671,Beacon Hill
Anna's Taqueria,800 Boylston,2199,Eating & Drinking w/ Take Out,42.3473,-71.0815,Back Bay
Anoush' Ella,201 Brookline,2215,Eating & Drinking w/ Take Out,42.3446,-71.1022,Fenway/Kenmore
Anshur Restauruant,291 Roxbury,2119,Eating & Drinking w/ Take Out,42.3304,-71.0943,Roxbury
ANTICO FORNO,93 Salem,2113,Eating & Drinking,42.3637,-71.0556,North End
Antonios Bacaro,1 Fairmount,2136,Eating & Drinking,42.2556,-71.1212,Hyde Park
Antonio's Hi-Fi,1508 Dorchester,2122,Eating & Drinking w/ Take Out,42.2993,-71.0602,Dorchester
ANTONIO'S ITALIANO CUCINA,286 Cambridge,2114,Eating & Drinking,42.361,-71.0682,Beacon Hill
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,11A Allstate,2125,Eating & Drinking,42.326,-71.0636,Dorchester
2022-04-23 00:00:00,222 Newbury,2116,Eating & Drinking w/ Take Out,42.3498,-71.0811,Back Bay
AQUITAINE,569 Tremont,2118,Eating & Drinking,42.3438,-71.0724,South End
Arboretum Grill,4021 Washington,2131,Eating & Drinking,42.292,-71.1224,Roslindale
ARCHIE'S NEW YORK DELI,93 Arch,2110,Eating & Drinking w/ Take Out,42.355,-71.0591,Downtown Boston
Arizona B B Q,2360 Washington,2119,Eating & Drinking w/ Take Out,42.3294,-71.0845,Roxbury
Article 24,458 Western,2135,Eating & Drinking w/ Take Out,42.362,-71.1422,Brighton
ARTU,6 Prince,2113,Eating & Drinking,42.3641,-71.0537,North End
Arya Trattoria,253 Hanover,2113,Eating & Drinking,42.3632,-71.0548,North End
